STATION,NAME,DATE,AWND,FMTM,PGTM,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV20
USW00014765,"PROVIDENCE, RI US",1/1/2000,4.92,1501,1328,35,48,21,240,230,19.9,25.1,1,1,,,,,,1,,,,1,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",1/2/2000,7.16,2154,2324,44,59,29,230,230,19.9,23,1,1,,,,,,,,,,1,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",1/3/2000,9.17,210,2354,56,64,48,240,250,17.9,23,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/4/2000,13.65,1902,1429,52,61,43,220,220,34,46.1,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/5/2000,12.97,530,535,38,50,25,310,310,23.9,32,1,,,,,,,,,,,1,,,1,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",1/6/2000,5.37,1436,31,30,40,19,150,10,13,16.1,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/7/2000,7.38,2131,2220,37,48,26,290,310,21,28,1,,,,,,,,,,,1,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/8/2000,8.5,2345,2345,32,38,26,240,230,15,16.1,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/9/2000,9.17,932,1056,44,53,34,250,260,17,21.9,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/10/2000,11.18,1939,1939,48,57,38,230,220,31.1,38.9,1,,,,,,,1,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/11/2000,15.43,1713,1713,48,56,39,310,330,33.1,48.1,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/12/2000,15.43,1233,1232,37,43,31,310,330,33.1,42.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/13/2000,11.86,2021,2016,25,33,16,330,320,23,33.1,1,1,,,,,,,1,,,1,,,,,1,,,1,,,
USW00014765,"PROVIDENCE, RI US",1/14/2000,16.33,1211,1003,12,16,8,330,320,28,34,,,,,,,,,1,,,,,,,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",1/15/2000,7.61,1009,1009,12,19,4,360,350,16.1,21,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/16/2000,12.97,2310,2319,26,42,10,330,330,32,42.9,1,,,,,,,,,,,1,,,1,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",1/17/2000,18.79,514,26,12,20,4,330,320,30,38,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/18/2000,7.61,5,4,13,22,3,330,340,19.9,25.1,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/19/2000,7.16,831,831,16,25,6,360,360,14.1,16.1,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/20/2000,9.84,2316,2337,16,23,8,360,10,28,34,1,,,,,,,1,,,,1,,,,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",1/21/2000,18.79,1608,1613,12,20,3,310,320,29.1,36.9,1,,,,,,,,,,,1,,,,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",1/22/2000,15.21,1116,1115,9,15,2,300,300,25.9,34,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/23/2000,4.92,2035,2040,14,22,5,70,70,11,13,,,,,,,,,,,,,,,,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",1/24/2000,5.14,728,154,27,34,20,360,10,11,15,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/25/2000,18.79,1434,1433,29,33,25,30,20,36,42.9,1,1,,1,1,1,,,,,,1,1,,1,1,1,,,1,,,
USW00014765,"PROVIDENCE, RI US",1/26/2000,10.29,736,735,27,33,21,270,280,17,21.9,1,,,1,,1,,,,,,1,1,1,1,1,1,,,,,,
USW00014765,"PROVIDENCE, RI US",1/27/2000,12.08,931,930,15,22,8,330,330,21,25.1,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/28/2000,12.3,1626,1616,13,21,4,320,320,23.9,30,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/29/2000,8.28,955,931,24,35,12,360,10,17.9,23.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/30/2000,4.7,2317,2316,28,40,16,190,190,8.1,8.9,,,,1,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",1/31/2000,10.51,1625,1625,36,42,29,260,270,25.1,29.1,1,1,,1,,,,1,,,,1,,,1,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",2/1/2000,10.07,1622,1613,32,36,27,280,280,17.9,23,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/2/2000,15.88,1519,1518,24,28,19,310,320,25.9,36,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/3/2000,7.61,714,13,24,30,17,290,290,16.1,21,1,,,,,,,,,,,1,,,,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",2/4/2000,5.59,937,809,28,31,25,10,10,13,15,1,,,,,,,,,,,1,,,,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",2/5/2000,8.5,1530,1533,28,34,21,280,290,17,21,1,,,,,,,,,,,1,,,,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",2/6/2000,13.2,1116,1115,29,34,24,300,290,25.1,31.1,,,,,,,,,,,,,,,,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",2/7/2000,14.54,1856,1900,34,42,25,310,310,28,32,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/8/2000,8.05,329,321,22,29,14,350,360,15,17.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/9/2000,12.08,1320,1518,32,45,18,240,240,29.1,38,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/10/2000,7.38,1517,1522,39,48,29,50,40,17,19.9,1,,,,,,,1,,,,1,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/11/2000,6.49,2110,2255,38,45,31,310,310,23,28,1,1,,,,,,1,,,,1,,,1,,,,1,,,,
USW00014765,"PROVIDENCE, RI US",2/12/2000,6.49,5,313,27,32,21,320,320,17.9,25.1,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/13/2000,6.04,1518,1513,26,35,16,180,160,15,17.9,1,,,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/14/2000,10.51,1141,1132,44,55,33,210,200,40,53.9,1,,,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/15/2000,11.41,1016,1026,34,42,26,320,320,23.9,32,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/16/2000,8.72,1536,1535,36,48,24,220,220,25.9,34,1,,,,,,,,,,,,,,,,1,,,1,,,
USW00014765,"PROVIDENCE, RI US",2/17/2000,12.08,1001,58,28,38,18,320,310,23,31.1,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/18/2000,8.05,2334,2339,26,33,18,20,10,19.9,21.9,1,,,1,1,1,,,,,,1,,,1,1,1,,,1,,,
USW00014765,"PROVIDENCE, RI US",2/19/2000,12.08,2352,1632,30,33,26,20,10,17.9,21.9,1,,,1,1,1,,,,,,1,,,1,1,1,,,,,,
USW00014765,"PROVIDENCE, RI US",2/20/2000,8.05,1411,1406,33,37,29,290,300,21,25.9,,,,,,,,,,,,,,,,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",2/21/2000,8.5,502,1223,34,40,28,310,330,16.1,21,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/22/2000,6.04,1339,1338,33,44,21,200,190,16.1,17.9,1,,,,,,,,,,,1,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/23/2000,8.28,1228,1345,40,54,26,230,210,21.9,25.9,1,1,,,,,,,,,,1,,,,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2/24/2000,4.25,330,245,51,60,42,260,240,10.1,14.1,,,,,,,,1,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/25/2000,12.3,1044,1042,41,46,36,50,60,23,25.9,1,,,,,,,,,,,1,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2/26/2000,9.17,209,207,39,42,36,40,30,16.1,19.9,1,1,,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/27/2000,6.04,1419,1422,50,60,40,230,230,21,23.9,1,1,,,,,,,,,,1,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/28/2000,12.3,540,539,47,56,38,220,230,25.1,32,1,1,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2/29/2000,13.87,1053,958,44,52,36,360,360,23.9,32,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/1/2000,7.61,1541,1540,42,46,37,170,180,16.1,17.9,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/2/2000,10.74,1745,1744,42,49,34,320,320,21,28,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/3/2000,15.66,1609,936,40,47,32,310,310,25.1,32,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/4/2000,10.07,25,25,43,53,33,330,320,19.9,25.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/5/2000,10.74,1245,1244,45,52,38,310,310,23.9,31.1,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/6/2000,10.96,1533,1353,42,51,32,360,360,25.1,33.1,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/7/2000,8.5,1657,1344,45,64,26,250,260,19.9,23,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/8/2000,7.61,1536,1642,47,55,38,180,160,17,17.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/9/2000,8.5,1323,2210,51,65,37,150,310,17,23,,,1,,,,,1,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/10/2000,11.18,742,742,45,54,36,360,10,25.1,33.1,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/11/2000,9.4,1652,1657,39,41,36,90,100,17,19.9,1,,1,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/12/2000,10.07,2038,2038,41,47,35,330,330,25.1,34,1,,1,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/13/2000,11.41,1255,1501,35,43,27,310,300,21.9,25.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/14/2000,8.95,1527,1311,38,51,24,240,210,23.9,32,1,,,,,,,1,,,,1,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/15/2000,10.74,1843,1842,48,61,34,210,210,21.9,29.1,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/16/2000,10.96,1045,940,58,71,45,250,230,21,25.9,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/17/2000,18.79,1316,508,36,47,23,360,30,32,38,1,,,1,1,1,,,,,,1,,,1,1,1,,,,,,
USW00014765,"PROVIDENCE, RI US",3/18/2000,12.75,935,757,25,33,17,20,10,21.9,28,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/19/2000,9.62,1207,1158,34,43,24,50,70,17,19.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/20/2000,12.08,1432,1543,40,48,31,80,70,19.9,23,1,,,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/21/2000,14.32,1310,1753,39,42,36,60,50,21.9,25.9,1,,,,,,,,,,,1,1,,1,,,,,,,,
